iter	Passed	Remaining
437	957	1228
438	960	1227
439	962	1225
440	964	1222
441	966	1219
442	967	1216
443	969	1213
444	970	1210
445	972	1207
446	973	1204
447	975	1201
448	976	1198
449	978	1195
450	979	1192
451	980	1189
452	982	1186
453	983	1183
454	985	1180
455	986	1177
456	988	1174
457	989	1171
458	991	1168
459	993	1165
460	994	1162
461	996	1160
462	997	1157
463	999	1154
464	1000	1151
465	1002	1148
466	1004	1146
467	1005	1143
468	1007	1140
469	1008	1137
470	1009	1134
471	1011	1131
472	1012	1128
473	1014	1125
474	1016	1123
475	1017	1120
476	1019	1117
477	1020	1114
478	1022	1111
479	1023	1109
480	1025	1106
481	1027	1103
482	1028	1101
483	1030	1098
484	1032	1096
485	1033	1093
486	1035	1090
487	1036	1087
488	1037	1084
489	1039	1081
490	1041	1079
491	1042	1076
492	1044	1073
493	1045	1070
494	1046	1068
495	1048	1065
496	1049	1062
497	1051	1059
498	1053	1057
499	1054	1054
500	1055	1051
501	1057	1048
502	1058	1045
503	1060	1043
504	1061	1040
505	1063	1038
506	1064	1035
507	1066	1032
508	1067	1030
509	1069	1027
510	1070	1024
511	1072	1022
512	1074	1019
513	1076	1017
514	1078	1015
515	1079	1012
516	1081	1010
517	1084	1008
518	1086	1007
519	1088	1004
520	1090	1002
521	1092	1000
522	1095	999
523	1097	997
524	1103	998
525	1105	996
526	1107	993
527	1109	991
528	1111	989
529	1112	986
530	1117	986
531	1118	984
532	1120	981
533	1121	978
534	1123	976
535	1124	973
536	1126	971
537	1127	968
538	1130	966
539	1132	964
540	1133	961
541	1135	959
542	1136	956
543	1137	953
544	1139	951
545	1142	949
546	1143	947
547	1145	944
548	1147	942
549	1149	940
550	1152	939
551	1161	942
552	1163	940
553	1166	939
554	1171	939
555	1173	937
556	1177	936
557	1182	936
558	1186	936
559	1191	936
560	1195	935
561	1197	933
562	1199	930
563	1201	928
564	1202	925
565	1204	923
566	1206	921
567	1208	919
568	1218	922
569	1222	922
570	1226	921
571	1237	926
572	1243	926
573	1255	931
574	1283	948
575	1287	947
576	1289	945
577	1291	943
578	1294	941
579	1300	942
580	1304	940
581	1306	938
582	1308	936
583	1312	934
584	1314	932
585	1317	930
586	1319	928
587	1322	926
588	1328	927
589	1330	924
590	1332	922
591	1334	919
592	1335	916
593	1337	914
594	1338	911
595	1342	909
596	1344	907
597	1346	904
598	1347	902
599	1349	899
600	1350	896
601	1352	894
602	1354	891
603	1356	889
604	1357	886
605	1359	883
606	1361	881
607	1362	878
608	1364	875
609	1365	873
610	1367	870
611	1369	868
612	1371	866
613	1373	863
614	1375	860
615	1376	858
616	1378	855
617	1379	852
618	1381	850
619	1382	847
620	1384	845
621	1386	842
622	1388	840
623	1390	837
624	1392	835
625	1393	832
626	1395	830
627	1397	827
628	1400	825
629	1401	823
630	1403	820
631	1405	818
632	1407	816
633	1409	813
634	1411	811
635	1412	808
636	1414	806
637	1416	803
638	1417	800
639	1419	798
640	1421	796
641	1423	793
642	1425	791
643	1426	788
644	1429	786
645	1431	784
646	1432	781
647	1434	779
648	1436	777
649	1438	774
650	1440	772
651	1441	769
652	1443	767
653	1445	764
654	1449	763
655	1451	760
656	1452	758
657	1454	756
658	1456	753
659	1457	751
660	1460	749
661	1462	746
662	1463	744
663	1465	741
664	1467	739
665	1469	736
666	1471	734
667	1474	732
668	1475	730
669	1477	727
670	1479	725
671	1480	722
672	1482	720
673	1484	717
674	1485	715
675	1486	712
676	1489	710
677	1491	708
678	1492	705
679	1494	703
680	1495	700
681	1496	698
682	1498	695
683	1499	692
684	1501	690
685	1503	688
686	1505	685
687	1506	683
688	1507	680
689	1509	677
690	1510	675
691	1511	672
692	1512	670
693	1514	667
694	1515	664
695	1516	662
696	1517	659
697	1519	657
698	1520	654
699	1522	652
700	1523	649
701	1525	647
702	1526	644
703	1527	642
704	1528	639
705	1529	637
706	1531	634
707	1533	632
708	1534	629
709	1535	627
710	1536	624
711	1538	622
712	1539	619
713	1540	617
714	1542	614
715	1543	612
716	1544	609
717	1545	607
718	1547	604
719	1548	602
720	1549	599
721	1550	597
722	1552	594
723	1553	592
724	1554	589
725	1556	587
726	1557	584
727	1558	582
728	1559	579
729	1561	577
730	1562	575
731	1564	572
732	1565	570
733	1566	567
734	1568	565
735	1569	562
736	1570	560
737	1571	557
738	1572	555
739	1574	553
740	1575	550
741	1577	548
742	1578	545
743	1579	543
744	1580	541
745	1582	538
746	1584	536
747	1586	534
748	1592	533
749	1594	531
750	1596	529
751	1601	528
752	1603	525
753	1606	524
754	1612	523
755	1614	521
756	1616	518
757	1618	516
758	1621	514
759	1624	513
760	1626	510
761	1629	508
762	1631	506
763	1633	504
764	1638	503
765	1644	502
766	1648	500
767	1650	498
768	1655	497
769	1657	495
770	1659	492
771	1663	491
772	1666	489
773	1669	487
774	1672	485
775	1674	483
776	1677	481
777	1679	479
778	1681	476
779	1683	474
780	1686	472
781	1688	470
782	1690	468
783	1692	466
784	1693	463
785	1695	461
786	1697	459
787	1702	457
788	1704	455
789	1705	453
790	1707	451
791	1709	449
792	1712	447
793	1715	445
794	1718	443
795	1720	441
796	1723	438
797	1726	436
798	1731	435
799	1733	433
800	1735	431
801	1737	428
802	1739	426
803	1743	425
804	1746	422
805	1748	420
806	1749	418
807	1751	416
808	1752	413
809	1754	411
810	1760	410
811	1763	408
812	1765	406
813	1767	403
814	1769	401
815	1775	400
816	1777	398
817	1779	395
818	1780	393
819	1782	391
820	1785	389
821	1789	387
822	1791	385
823	1792	382
824	1794	380
825	1796	378
826	1797	376
827	1799	373
828	1800	371
829	1802	369
830	1804	367
831	1806	364
832	1808	362
833	1809	360
834	1811	357
835	1813	355
836	1814	353
837	1817	351
838	1819	349
839	1820	346
840	1822	344
841	1823	342
842	1825	339
843	1827	337
844	1828	335
845	1830	333
846	1831	330
847	1833	328
848	1834	326
849	1836	324
850	1837	321
851	1839	319
852	1841	317
853	1842	314
854	1843	312
855	1845	310
856	1849	308
857	1851	306
858	1854	304
859	1856	302
860	1857	299
861	1859	297
862	1862	295
863	1864	293
864	1865	291
865	1867	288
866	1868	286
867	1870	284
868	1872	282
869	1873	279
870	1875	277
871	1877	275
872	1879	273
873	1880	271
874	1882	268
875	1884	266
876	1885	264
877	1887	262
878	1889	260
879	1891	257
880	1893	255
881	1894	253
882	1896	251
883	1897	249
884	1899	246
885	1900	244
886	1902	242
887	1903	240
888	1906	238
889	1908	235
890	1909	233
891	1911	231
892	1912	229
893	1914	226
894	1915	224
895	1917	222
896	1919	220
897	1921	218
898	1923	216
899	1924	213
900	1926	211
901	1927	209
902	1929	207
903	1930	205
904	1932	202
905	1936	200
906	1938	198
907	1939	196
908	1941	194
909	1942	192
910	1944	189
911	1945	187
912	1947	185
913	1949	183
914	1951	181
915	1952	179
916	1955	176
917	1956	174
918	1958	172
919	1960	170
920	1961	168
921	1963	166
922	1966	164
923	1968	161
924	1970	159
925	1971	157
926	1973	155
927	1975	153
928	1976	151
929	1983	149
930	1986	147
931	1987	145
932	1989	142
933	1991	140
934	1993	138
935	1996	136
936	1998	134
937	1999	132
938	2001	130
939	2002	127
940	2004	125
941	2006	123
942	2007	121
943	2010	119
944	2012	117
945	2014	114
946	2016	112
947	2017	110
948	2019	108
949	2021	106
950	2024	104
951	2026	102
952	2028	100
953	2030	97
954	2031	95
955	2033	93
956	2035	91
957	2036	89
958	2039	87
959	2041	85
960	2043	82
961	2044	80
962	2046	78
963	2047	76
964	2049	74
965	2051	72
966	2054	70
967	2056	67
968	2058	65
969	2059	63
970	2061	61
971	2063	59
972	2065	57
973	2067	55
974	2069	53
975	2072	50
976	2073	48
977	2075	46
978	2076	44
979	2078	42
980	2080	40
981	2081	38
982	2086	36
983	2088	33
984	2090	31
985	2091	29
986	2093	27
987	2095	25
988	2096	23
989	2099	21
990	2101	19
991	2103	16
992	2105	14
993	2107	12
994	2109	10
995	2110	8
996	2112	6
997	2114	4
998	2115	2
999	2117	0
